"taxa"	"Pump-NICUa"	"Mattress-NICUa"	"Rail-NICUa"	"Monitor-NICUa"	"Ventilator-NICUa"	"Pump-NICUb"	"Mattress-NICUb"	"Rail-NICUb"	"Monitor-NICUb"	"Ventilator-NICUb"	"Mobiles-NICUab"	"Handle-NICUab"	"DrugStation-NICUab"
"Eikenella"	0	2.90672325088e-05	0	5.81344650176e-05	0	5.81344650176e-05	0	2.90672325088e-05	0	0	0.00235444583321	0.00148242885795	0
"Elizabethkingia"	0.00139522716042	2.90672325088e-05	5.81344650176e-05	0.000377874022614	0.000930151440281	0.000436008487632	0.000697613580211	0.0510129930529	0.001656832253	0.0019765718106	0	0.00220910967067	0.000784815277737
"Elusimicrobium"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ensifer"	0	2.90672325088e-05	0.000116268930035	0	0	0	0	0	0	0	0	0.000116268930035	2.90672325088e-05
"Enterobacter"	0.00438915210883	0.00325553004098	0.00505769845653	0.0072668081272	0.000581344650176	0.0338051914077	0.0118303636311	0.0162195157399	0.00752841321978	0.00369153852862	0.000436008487632	0.0103770020056	0.00546463971165
"Enterococcus"	0.00540650524664	0.00261605092579	0.003313664506	0.0101153969131	0.00645292561695	0.0141266749993	0.00526116908409	0.00901084207773	0.0120338342586	0.0162195157399	0.00122082376537	0.00674359794204	0.00366247129611
"Enterorhabdus"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Escherichia/Shigella"	0.00476702613144	0.00142429439293	0.00127895823039	0.00921431270529	0.0124989099788	0.0619713397087	0.00584251373427	0.00244164753074	0.00404034531872	0.00654012731448	0.00476702613144	0.00813882510246	0.00229631136819
"Eubacterium"	0	0	5.81344650176e-05	0.000668546347702	0.00023253786007	0.00319739557597	0.000145336162544	5.81344650176e-05	8.72016975264e-05	0.000116268930035	0.000639479115193	0.000872016975264	0.000290672325088
"Exiguobacterium"	8.72016975264e-05	0.000145336162544	0.000203470627562	0.000406941255123	2.90672325088e-05	0.00212190797314	0.000581344650176	0.000523210185158	0.000842949742755	0.000174403395053	0.000610411882685	0.00168589948551	0.000842949742755
"Facklamia"	0	0	2.90672325088e-05	0.000116268930035	0	5.81344650176e-05	0	0	8.72016975264e-05	0.000116268930035	0	0	0.000116268930035
"Ferruginibacter"	0	0	0	0	0	0	0	0.000116268930035	0	0	0	0	5.81344650176e-05
"Fibrobacter"	0	0	0	0	5.81344650176e-05	0	0	0	0	0	0	0	0
"Filifactor"	0	0	0	0	0	0	0	0.000116268930035	0	0	0.000261605092579	0.000203470627562	0
"Finegoldia"	0.00915617824027	5.81344650176e-05	0.000145336162544	0.000523210185158	0.000319739557597	2.90672325088e-05	0.000174403395053	0.000348806790106	0.00183123564805	0.000348806790106	0.000174403395053	0.00642385838444	0.00139522716042
