accession	name
NR_118118.1	Haloarchaeobius iranensis
NR_118024.1	Palaeococcus pacificus
NR_117998.1	Natronorubrum texcoconense
NR_117996.1	Halobellus salinus
NR_117968.1	Methanothermobacter crinale
NR_117950.1	Halorubellus litoreus
NR_117949.1	Halorubellus salinus
NR_117933.1	Halovenus aranensis
NR_117917.1	Methanobacterium lacus
NR_117819.1	Halogeometricum pallidum
NR_117815.1	Haloquadratum walsbyi
NR_117810.1	Halonotius pteroides
NR_117806.1	Halohasta litorea
NR_117805.1	Halosimplex rubrum
NR_117804.1	Halosimplex pelagicum
NR_117803.1	Salinarchaeum laminariae
NR_117705.1	Methanospirillum stamsii
NR_117558.1	Halorubellus litoreus
NR_117557.1	Halorubellus salinus
NR_117465.1	Halobellus limi
NR_117464.1	Halolamina pelagica
NR_117282.1	Haloplanus aerogenes
NR_117281.1	Halogranum gelatinilyticum
NR_117280.1	Halogranum amylolyticum
NR_117279.1	Halorientalis regularis
NR_117278.1	Halobellus clavatus
NR_117277.1	Halorussus rarus
NR_117038.1	Metallosphaera cuprina
NR_117015.1	Halogranum salarium
NR_116975.1	Thermococcus prieurii
NR_116881.1	Methanoculleus hydrogenitrophicus
NR_116822.1	Archaeoglobus sulfaticallidus
NR_116803.1	Methanocaldococcus villosus
NR_116724.1	Haloterrigena daqingensis
NR_116667.1	Haloarcula salaria
NR_116666.1	Haloarcula salaria
NR_116665.1	Haloarcula tradensis
NR_116664.1	Haloarcula tradensis
NR_116663.1	Haloarcula tradensis
NR_116582.1	Geoglobus acetivorans
NR_116515.1	Haloplanus vescus
NR_116514.1	Halogeometricum limi
NR_116493.1	Halogeometricum rufum
NR_116492.1	Haladaptatus litoreus
NR_116491.1	Halopelagius inordinatus
NR_116490.1	Halogranum rubrum
NR_116412.1	Pyrococcus yayanosii
NR_116289.1	Methanobacterium movens
NR_116276.1	Methanobacterium flexile
NR_116216.1	Desulfurococcus amylolyticus
NR_116101.1	Haladaptatus cibarius
NR_116054.1	Fervidicoccus fontis
NR_115986.1	Methanolobus psychrophilus
NR_115946.1	Halorubrum cibi
NR_115945.1	Haloterrigena jeotgali
NR_115941.1	Caldisphaera draconis
NR_115940.1	Acidilobus sulfurireducens
NR_115935.1	Methanobacterium veterum
NR_115925.1	Halorubrum luteum
NR_115870.1	Haloarcula amylolytica
NR_115811.1	Methanobacterium arcticum
NR_115754.1	Haloterrigena longa
NR_115753.1	Haloterrigena limicola
NR_115747.1	Haladaptatus paucihalophilus
NR_115706.1	Methanogenium boonei
NR_115653.1	Pyrococcus horikoshii
NR_115545.1	Haloarcula japonica
NR_115247.1	Halobellus salinus
NR_115246.1	Natronomonas moolapensis
NR_115245.1	Halonotius pteroides
NR_115208.1	Acidilobus saccharovorans
NR_115171.1	Methanosphaera stadtmanae
NR_115170.1	Methanimicrococcus blatticola
NR_115169.1	Methanobrevibacter smithii
NR_115168.1	Methanobacterium formicicum
NR_115150.1	Sulfolobus tengchongensis
NR_115145.1	Pyrococcus abyssi
NR_115144.1	Thermococcus nautili
NR_115006.1	Halorubrum aquaticum
NR_114688.1	Natrialba hulunbeirensis
NR_114682.1	Natrialba wudunaoensis
NR_114654.1	Thermococcus radiotolerans
NR_114653.1	Thermococcus marinus
NR_114601.1	Halopiger aswanensis
NR_114559.1	Desulfurococcus amylolyticus
NR_114516.1	Thermococcus waiotapuensis
NR_114490.1	Methanofollis liminatans
NR_114489.1	Methanoculleus bourgensis
NR_114487.1	Methanocorpusculum labreanum
NR_114485.1	Methanobacterium palustre
NR_114484.1	Methanothermobacter marburgensis
NR_114483.1	Methanobacterium espanolae
NR_114351.1	Halomicroarcula pellucida
NR_114350.1	Halomicroarcula pellucida
NR_113369.1	Halobaculum magnesiiphilum
NR_113365.1	Halobaculum magnesiiphilum
NR_113045.1	Methanobacterium ferruginis
NR_113044.1	Methanobacterium petrolearium
NR_113017.1	Natronoarchaeum philippinense
NR_113016.1	Halostagnicola alkaliphila
NR_113002.1	Methanothermobacter tenebrarum
NR_112987.1	Halomarina oriensis
NR_112981.1	Methanospirillum lacunae
NR_112922.1	Natronoarchaeum mannanilyticum
NR_112921.1	Natronoarchaeum mannanilyticum
NR_112889.1	Halostagnicola kamekurae
NR_112877.1	Methanoregula formicica
NR_112821.1	Natronoarchaeum philippinense
NR_112809.1	Salarchaeum japonicum
NR_112799.1	Methanolinea mesophila
NR_112788.1	Methanoculleus horonobensis
NR_112766.1	Halarchaeum nitratireducens
NR_112765.1	Halarchaeum salinum
NR_112764.1	Halarchaeum rubridurum
NR_112763.1	Halarchaeum acidiphilum
NR_112749.1	Methanobacterium kanagiense
NR_112618.1	Archaeoglobus sulfaticallidus
NR_112207.1	Halosimplex carlsbadense
NR_112206.1	Halosimplex carlsbadense
NR_112199.1	Methanotorris formicicus
NR_112198.1	Methanotorris formicicus
NR_112151.1	Thermococcus fumicolans
NR_112094.1	Pyrobaculum oguniense
NR_104985.1	Methanococcus voltae
NR_104745.1	Methanolobus bombayensis
NR_104730.1	Methanogenium cariaci
NR_102985.1	Pyrolobus fumarii
NR_102930.1	Metallosphaera cuprina
NR_102918.1	Halopiger xanaduensis
NR_102915.1	Methanothermococcus okinawensis
NR_102913.1	Nitrosopumilus maritimus
NR_102903.1	Methanothrix soehngenii
NR_102901.1	Methanotorris igneus
NR_102888.1	Thermococcus sibiricus
NR_102885.1	Archaeoglobus veneficus
NR_102853.1	Pyrococcus yayanosii
NR_102519.1	Natronomonas moolapensis
NR_102445.1	Halovivax ruber
NR_102442.1	Natronobacterium gregoryi
NR_102441.1	Methanoregula formicica
NR_074192.1	Methanocella paludicola
NR_074182.1	Methanococcus aeolicus
NR_074180.1	Methanoregula boonei
NR_074177.1	Methanospirillum hungatei
NR_074175.1	Methanococcus vannielii
NR_074174.1	Methanoculleus marisnigri
NR_074173.1	Methanocorpusculum labreanum
NR_074110.1	Methanosarcina acetivorans
NR_074104.1	Ignicoccus hospitalis
NR_074539.1	Methanopyrus kandleri
NR_074374.1	Desulfurococcus amylolyticus
NR_074373.1	Thermococcus onnurineus
NR_074348.1	Sulfurisphaera tokodaii
NR_074260.1	Methanothermobacter thermautotrophicus
NR_074232.1	Methanocella arvoryzae
NR_074218.1	Haloferax volcanii
NR_074207.1	Methanocaldococcus fervens
NR_044913.1	Stetteria hydrogenophila
NR_044908.1	Thermosphaera aggregans
NR_044907.1	Thermodiscus maritimus
NR_044801.1	Methanobrevibacter filiformis
NR_044796.1	Methanobrevibacter curvatus
NR_044790.1	Methanobrevibacter wolinii
NR_044789.1	Methanobrevibacter gottschalkii
NR_044788.1	Methanobrevibacter woesei
NR_044787.1	Methanobrevibacter thaueri
NR_044776.1	Methanobrevibacter cuticularis
NR_044768.1	Methanolobus vulcani
NR_044765.1	Halorubrum saccharovorum
NR_044558.1	Methanolobus zinderi
NR_044422.1	Methanosphaerula palustris
NR_044108.1	Halorhabdus tiamatea
NR_044072.1	Halalkalicoccus jeotgali
NR_044071.1	Natronococcus jeotgali
NR_044056.1	Halogeometricum pallidum
NR_043987.1	Haloferax elongans
NR_043803.1	Haloplanus natans
NR_043744.1	Haladaptatus paucihalophilus
NR_043676.1	Halobacterium jilantaiense
NR_043560.1	Halorubrum ezzemoulense
NR_043512.1	Ignisphaera aggregans
NR_043474.1	Halococcus hamelinensis
NR_043432.1	Sulfurisphaera ohwakuensis
NR_043417.1	Aeropyrum pernix
NR_043089.1	Methanomethylovorans thermophila
