accession	name
NR_136867.1	Streptomyces cyslabdanicus
NR_136866.1	Streptomyces lactacystinicus
NR_136865.1	Streptomyces bohaiensis
NR_136864.1	Streptomyces alkaliphilus
NR_136862.1	Savagea faecisuis
NR_136861.1	Salinicola acroporae
NR_136860.1	Rhodococcus agglutinans
NR_136859.1	Rhodobaculum claviforme
NR_136857.1	Pseudovibrio hongkongensis
NR_136856.1	Prauserella endophytica
NR_136854.1	Paenibacillus wulumuqiensis
NR_136853.1	Paenibacillus vini
NR_136852.1	Paenibacillus dauci
NR_136850.1	Nocardioides solisilvae
NR_136849.1	Nocardia rhizosphaerae
NR_136848.1	Micromonospora palomenae
NR_136847.1	Micromonospora harpali
NR_136844.1	Lysobacter fragariae
NR_136843.1	Lysobacter rhizosphaerae
NR_136842.1	Lentibacillus garicola
NR_136840.1	Geodermatophilus aquaeductus
NR_136839.1	Fontibacillus solani
NR_136838.1	Flavobacterium vireti
NR_136836.1	Dactylosporangium cerinum
NR_136835.1	Colwellia arctica
NR_136833.1	Paraburkholderia metalliresistens
NR_136832.1	Aureisphaera galaxeae
NR_136826.1	Humibacter ginsengisoli
NR_136825.1	Humibacter ginsengiterrae
NR_136824.1	Risungbinella pyongyangensis
NR_136823.1	Paenibacillus hemerocallicola
NR_136822.1	Paenibacillus oenotherae
NR_136821.1	Arcobacter lanthieri
NR_136820.1	Flavobacterium procerum
NR_136819.1	Lacinutrix undariae
NR_136818.1	Lutibacter crassostreae
NR_136817.1	Aquimarina agarivorans
NR_136816.1	Staphylococcus argensis
NR_136815.1	Vibrio salilacus
NR_136814.1	Vibrio salilacus
NR_136813.1	Vibrio salilacus
NR_136812.1	Vibrio salilacus
NR_136811.1	Vibrio salilacus
NR_136810.1	Vibrio salilacus
NR_136809.1	Aliiroseovarius pelagivivens
NR_136808.1	Phaeodactylibacter luteus
NR_136807.1	Sphingomicrobium aestuariivivum
NR_136806.1	Phytoactinopolyspora endophytica
NR_136805.1	Marinithermofilum abyssi
NR_136804.1	Desmospora profundinema
NR_136803.1	Rheinheimera aestuarii
NR_136802.1	Ferruginibacter paludis
NR_136801.1	Shewanella mangrovi
NR_136800.1	Nocardioides antarcticus
NR_136798.1	Kibdelosporangium lantanae
NR_136797.1	Novibacillus thermophilus
NR_136796.1	Acetoanaerobium pronyense
NR_136795.1	Jiangella mangrovi
NR_136793.1	Sphingomonas zeae
NR_136792.1	Bacillus crescens
NR_136791.1	Palleronia soli
NR_136790.1	Sedimenticola thiotaurini
NR_136781.1	Mameliella alba
NR_136780.1	Mangrovibacter yixingensis
NR_136779.1	Lysinibacillus alkaliphilus
NR_136778.1	Fuchsiella ferrireducens
NR_136777.1	Fuchsiella ferrireducens
NR_136776.1	Fuchsiella ferrireducens
NR_136774.1	Bacillus caseinilyticus
NR_136773.1	Aquipuribacter nitratireducens
NR_136771.1	Hoeflea olei
NR_136770.1	Gemmatimonas phototrophica
NR_136769.1	Streptomyces polymachus
NR_136768.1	Leucothrix pacifica
NR_136767.1	Limnochorda pilosa
NR_136764.1	Phaeobacterium nitratireducens
NR_136763.1	Herbinix hemicellulosilytica
NR_109641.1	Glycomyces phytohabitans
NR_136500.1	Gelidibacter sediminis
NR_136498.1	Algoriphagus trabzonensis
NR_136497.1	Longimonas halophila
NR_136494.1	Roseovarius antarcticus
NR_136492.1	Mycolicibacterium anyangense
NR_136491.1	Kangiella profundi
NR_136488.1	Roseimarinus sediminis
NR_136487.1	Mesonia hippocampi
NR_136486.1	Pontibacter chinhatensis
NR_136485.1	Jeotgalibacillus malaysiensis
NR_136484.1	Dokdonia pacifica
NR_136483.1	Alcanivorax gelatiniphagus
NR_136481.1	Elizabethkingia anophelis
NR_136479.1	Paenibacillus qingshengii
NR_136478.1	Streptobacillus felis
NR_136477.1	Pullulanibacillus pueri
NR_136476.1	Tumebacillus algifaecis
NR_136475.1	Phaeocystidibacter marisrubri
NR_136473.1	Pseudomonas endophytica
NR_136472.1	Escherichia marmotae
NR_136470.1	Massilia eurypsychrophila
NR_136469.1	Marinobacter nitratireducens
NR_136462.1	Microbacterium enclense
NR_136461.1	Bacillus taiwanensis
NR_136460.1	Youhaiella tibetensis
NR_136459.1	Demequina activiva
NR_136458.1	Mucilaginibacter vulcanisilvae
NR_136456.1	Wenyingzhuangia heitensis
NR_136455.1	Tropicihabitans flavus
NR_136452.1	Clostridium kogasensis
NR_136451.1	Spirochaeta lutea
NR_136450.1	Sphingobium endophyticum
NR_136449.1	Salisediminibacterium haloalkalitolerans
NR_136448.1	Rhodopirellula caenicola
NR_136446.1	Pseudooceanicola atlanticus
NR_136445.1	Pseudomonas asuensis
NR_136444.1	Pseudohongiella acticola
NR_136443.1	Porphyromonas pogonae
NR_136442.1	Pedobacter lotistagni
NR_136441.1	Paradevosia shaoguanensis
NR_136439.1	Negadavirga shengliensis
NR_136438.1	Marinobacter shengliensis
NR_136433.1	Halodurantibacterium flavum
NR_136432.1	Flavobacterium seoulense
NR_136430.1	Emcibacter nanhaiensis
NR_136429.1	Edwardsiella anguillarum
NR_136425.1	Chlamydia gallinacea
NR_136424.1	Caldisalinibacter kiritimatiensis
NR_136423.1	Bosea vaviloviae
NR_136422.1	Bifidobacterium commune
NR_136421.1	Arcobacter aquimarinus
NR_136419.1	Aquimarina penaei
NR_136418.1	Actibacterium atlanticum
NR_109496.1	Flaviaesturariibacter amylovorans
NR_135902.1	Glaciimonas alpina
NR_135901.1	Actinoalloteichus hoggarensis
NR_135900.1	Octadecabacter temperatus
NR_135899.1	Aneurinibacillus tyrosinisolvens
NR_135897.1	Lactobacillus mixtipabuli
NR_135895.1	Sphingobium phenoxybenzoativorans
NR_135892.1	Actinomadura syzygii
NR_135891.1	Vibrio renipiscarius
NR_135890.1	Aestuariicella hydrocarbonica
NR_135889.1	Luteolibacter arcticus
NR_135888.1	Arenimonas subflava
NR_135887.1	Halobacillus andaensis
NR_135886.1	Desulfoplanes formicivorans
NR_135885.1	Vibrio olivae
NR_135884.1	Marivita lacus
NR_135883.1	Paracoccus sanguinis
NR_135882.1	Aestuariivivens insulae
NR_135881.1	Amphritea spongicola
NR_135880.1	Hymenobacter wooponensis
NR_135876.1	Marmoricola terrae
NR_135875.1	Marmoricola solisilvae
NR_135874.1	Pseudoseohaeicola caenipelagi
NR_135873.1	Defluviimonas alba
NR_135872.1	Plantactinospora veratri
NR_135871.1	Rouxiella chamberiensis
NR_135868.1	Amycolatopsis rhabdoformis
NR_135867.1	Sinosporangium fuscum
NR_135865.1	Tepidicaulis marinus
NR_135864.1	Lysinibacillus acetophenoni
NR_135861.1	Helicobacter himalayensis
NR_135860.1	Caloranaerobacter ferrireducens
NR_135857.1	Mesorhizobium erdmanii
NR_135736.1	Falsochrobactrum ovis
NR_135734.1	Amnibacterium soli
NR_135733.1	Terriglobus aquaticus
NR_135732.1	Bacillus paraflexus
NR_135731.1	Nocardioides endophyticus
NR_135730.1	Nocardioides conyzicola
NR_135729.1	Mycobacterium bourgelatii
NR_135728.1	Shewanella aestuarii
NR_135727.1	Acinetobacter kookii
NR_135724.1	Planifilum composti
NR_135720.1	Enterococcus diestrammenae
NR_135718.1	Pontibacter odishensis
NR_135717.1	Ciceribacter lividus
NR_135715.1	Micromonospora kangleipakensis
NR_135713.1	Natranaerobaculum magadiense
NR_135712.1	Natranaerobaculum magadiense
NR_135711.1	Natranaerobaculum magadiense
NR_135710.1	Lacibacter daechungensis
NR_135709.1	Sphingobacterium changzhouense
NR_135705.1	Paenibacillus endophyticus
NR_135703.1	Pseudomonas guariconensis
NR_135702.1	Alcanivorax marinus
NR_135701.1	Heliimonas saccharivorans
NR_135699.1	Seleniivibrio woodruffii
NR_135698.1	Pustulibacterium marinum
NR_135697.1	Aliiglaciecola aliphaticivorans
NR_135696.1	Pleionea mediterranea
NR_109497.1	Nibrella viscosa
NR_109495.1	Nibrella saemangeumensis
NR_109494.1	Hymenobacter saemangeumensis
NR_109493.1	Hymenobacter koreensis
NR_109492.1	Nibribacter koreensis
NR_108685.1	Pedobacter ginsenosidimutans
NR_135212.1	Vogesella oryzae
NR_135211.1	Kosakonia pseudosacchari
NR_135210.1	Methylobacterium indicum
NR_135209.1	Silvibacterium bohemicum
NR_135208.1	Vibrio bivalvicida
NR_134841.1	Mucinivorans hirudinis
NR_134840.1	Mucinivorans hirudinis
NR_134836.1	Bradyrhizobium lupini
NR_134830.1	Vibrio tritonius
NR_134829.1	Vibrio jasicida
NR_134827.1	Uruburuella testudinis
NR_134826.1	Thermogutta terrifontis
NR_134825.1	Thermogutta hypogea
NR_134824.1	Streptomyces tsukubensis
NR_134823.1	Streptomyces seymenliensis
NR_134822.1	Streptomyces lunaelactis
NR_134821.1	Streptomyces klenkii
NR_134820.1	Streptomyces muensis
NR_134819.1	Streptomyces alkalithermotolerans
NR_134816.1	Sporolactobacillus spathodeae
NR_134815.1	Sporolactobacillus shoreae
NR_134814.1	Spongiivirga citrea
NR_134812.1	Sphingomonas gei
NR_134811.1	Sinomonas susongensis
NR_134810.1	Sinomonas notoginsengisoli
NR_134809.1	Sinomonas humi
NR_134808.1	Simiduia aestuariiviva
NR_134806.1	Siansivirga jejuensis
NR_134805.1	Serinibacter tropicus
NR_134804.1	Salipiger profundus
NR_134803.1	Salinispira pacifica
NR_134802.1	Saccharothrix tamanrassetensis
NR_134801.1	Roseivivax jejudonensis
NR_134800.1	Romboutsia sedimentorum
NR_134798.1	Rhodococcus biphenylivorans
NR_134797.1	Rhodanobacter koreensis
NR_134796.1	Psychrobacter ciconiae
NR_134795.1	Pseudomonas zhaodongensis
NR_134794.1	Pseudomonas soli
NR_134792.1	Mameliella alba
NR_134791.1	Pontibacter humi
NR_134790.1	Polaribacter marinivivus
NR_134789.1	Pedobacter ureilyticus
NR_134788.1	Pedobacter trunci
NR_134787.1	Pedobacter silvilitoris
NR_134786.1	Pedobacter daejeonensis
NR_134785.1	Parabacteroides faecis
NR_134784.1	Palleronia abyssalis
NR_134782.1	Paenibacillus abyssi
NR_134781.1	Olsenella scatoligenes
NR_134780.1	Oenococcus alcoholitolerans
NR_134779.1	Nonomuraea syzygii
NR_134778.1	Nocardiopsis algeriensis
NR_134777.1	Nocardioides montaniterrae
NR_134776.1	Nioella nitratireducens
NR_134774.1	Myroides injenensis
NR_134771.1	Mucilaginibacter gotjawali
NR_134770.1	Motiliproteus sediminis
NR_134769.1	Microbispora bryophytorum
NR_134768.1	Microbacterium panaciterrae
NR_134765.1	Methylopila henanensis
NR_134764.1	Methylobrevis pamukkalensis
NR_134761.1	Melghiribacillus thermohalophilus
NR_134760.1	Lysobacter mobilis
NR_134759.1	Lysobacter caeni
NR_134758.1	Lunatimonas lonarensis
NR_134757.1	Litoribrevibacter albus
NR_134756.1	Limisphaera ngatamarikiensis
NR_134755.1	Larsenimonas salina
NR_134754.1	Lacinutrix jangbogonensis
NR_134752.1	Jiella aquimaris
NR_134750.1	Ichthyenterobacterium magnum
NR_134749.1	Hyunsoonleella pacifica
NR_134746.1	Hydrobacter penzbergensis
NR_134741.1	Hafnia psychrotolerans
NR_134740.1	Granulosicoccus undariae
NR_134739.1	Gramella aestuariivivens
NR_134736.1	Geobacillus icigianus
NR_134735.1	Gemmobacter intermedius
NR_134734.1	Garicola koreensis
NR_134733.1	Frondibacter aureus
NR_134732.1	Frigoribacterium endophyticum
NR_134731.1	Frigidibacter albus
NR_134730.1	Fodinicurvata halophila
NR_134729.1	Flavobacterium qiangtangense
NR_134728.1	Flavobacterium palustre
NR_134727.1	Flavobacterium daemonense
NR_134726.1	Flavobacterium arsenitoxidans
NR_134725.1	Lacinutrix iliipiscaria
NR_134724.1	Flavicella marina
NR_134723.1	Ezakiella peruensis
NR_134722.1	Dyadobacter sediminis
NR_134721.1	Dyadobacter jiangsuensis
NR_134720.1	Desulfovibrio biadhensis
NR_134719.1	Desulfosporosinus acididurans
NR_134718.1	Deinococcus radiotolerans
NR_134717.1	Deinococcus enclensis
NR_134716.1	Corynebacterium trachiae
NR_134715.1	Confluentimicrobium lipolyticum
NR_134714.1	Clostridium oryzae
NR_134713.1	Clavibacter michiganensis
NR_134712.1	Clavibacter michiganensis
NR_134709.1	Chelatococcus caeni
NR_134708.1	Cetia pacifica
NR_134707.1	Catenisphaera adipataccumulans
NR_134706.1	Campylobacter iguaniorum
NR_134705.1	Paraburkholderia susongensis
NR_134704.1	Caballeronia megalochromosomata
NR_134703.1	Bacillus oleivorans
NR_134701.1	Bacillus filamentosus
NR_134700.1	Arthrobacter liuii
NR_134698.1	Aquisalimonas lutea
NR_134697.1	Aquibacillus salifodinae
NR_134696.1	Amycolatopsis speibonae
NR_134695.1	Amycolatopsis roodepoortensis
NR_134694.1	Aminicella lysinilytica
NR_134691.1	Agarivorans litoreus
NR_134690.1	Pseudactinotalea suaedae
NR_134689.1	Actinopolyspora biskrensis
NR_134688.1	Actinomadura rayongensis
NR_134687.1	Actinokineospora spheciospongiae
NR_134686.1	Actinokineospora mzabensis
NR_134684.1	Acinetobacter seifertii
NR_109160.1	Cupriavidus plantarum
NR_134156.2	Rhodoplanes oryzae
NR_134230.1	Yersinia wautersii
NR_134229.1	Weissella uvarum
NR_134227.1	Vibrio metoecus
NR_134225.1	Variibacter gotjawalensis
NR_134224.1	Undibacterium squillarum
NR_134222.1	Thiophaeococcus fuscus
NR_134221.1	Thermosipho activus
NR_134220.1	Thermorudis peleae
NR_134219.1	Thermomonas carbonis
NR_134218.1	Thermomicrobium carboxidum
NR_134215.1	Thalassotalea ponticola
NR_134213.1	Terrimonas arctica
NR_134212.1	Terrabacter koreensis
NR_134211.1	Tangfeifania diversioriginum
NR_134210.1	Symbiobacterium turbinis
NR_134209.1	Symbiobacterium terraclitae
NR_134208.1	Symbiobacterium ostreiconchae
NR_134207.1	Sunxiuqinia rutila
NR_134206.1	Sulfitobacter noctilucicola
NR_134205.1	Sulfitobacter noctilucae
NR_134204.1	Sulfitobacter geojensis
NR_134203.1	Streptosporangium jomthongense
NR_134202.1	Streptomyces zagrosensis
NR_134201.1	Streptomyces smyrnaeus
NR_134200.1	Streptomyces panaciradicis
NR_134199.1	Streptomyces lopnurensis
NR_134198.1	Streptomyces iconiensis
NR_134196.1	Streptomyces graminifolii
NR_134194.1	Streptomyces burgazadensis
NR_134190.1	Streptococcus cuniculi
NR_134189.1	Steroidobacter agariperforans
NR_134188.1	Sporosarcina siberiensis
NR_134187.1	Spirosoma oryzae
NR_134186.1	Spirosoma arcticum
NR_134185.1	Spirochaeta psychrophila
NR_134184.1	Sphingorhabdus arenilitoris
NR_134183.1	Sphingorhabdus contaminans
NR_134182.1	Sphingomonas kyeonggiensis
NR_134181.1	Sphingomonas gimensis
NR_134180.1	Sphingobacterium yanglingense
NR_134179.1	Sphingobacterium paludis
NR_134178.1	Sphingobacterium gobiense
NR_134177.1	Pleomorphochaeta multiformis
NR_134176.1	Solirubrobacter taibaiensis
NR_134175.1	Sinosporangium siamense
NR_134174.1	Sinomicrobium pectinilyticum
NR_134172.1	Simiduia curdlanivorans
NR_134171.1	Salinithrix halophila
NR_134170.1	Salinispora pacifica
NR_134168.1	Salimicrobium jeotgali
NR_134167.1	Saccharothrix carnea
NR_134166.1	Saccharopolyspora halotolerans
NR_134164.1	Saccharicrinis carchari
NR_134163.1	Roseovarius gaetbuli
NR_134160.1	Roseivivax marinus
NR_134159.1	Roseibium aquae
NR_134157.1	Rhodovulum mangrovi
NR_134155.1	Rhodoligotrophos jinshengii
NR_134154.1	Rhodococcus enclensis
NR_134153.1	Rhizobium populi
NR_134151.1	Pararheinheimera arenilitoris
NR_134150.1	Ralstonia syzygii
NR_134149.1	Ralstonia syzygii
NR_134148.1	Ralstonia pseudosolanacearum
NR_134147.1	Psychroflexus salarius
NR_134146.1	Psychrobium conchae
NR_134144.1	Pseudoxanthobacter liyangensis
NR_134143.1	Pseudoscardovia radai
NR_134142.1	Pseudoruegeria sabulilitoris
NR_134137.1	Acidipropionibacterium olivae
NR_134136.1	Acidipropionibacterium damnosum
NR_134135.1	Prauserella shujinwangii
NR_134134.1	Prauserella coralliicola
NR_134133.1	Planomicrobium soli
NR_134132.1	Phaeodactylibacter xiamenensis
NR_134131.1	Permianibacter aggregans
NR_134129.1	Pedobacter xixiisoli
NR_134128.1	Pedobacter rivuli
NR_134127.1	Pedobacter pituitosus
NR_134125.1	Pedobacter glacialis
NR_134124.1	Paraglaciecola oceanifecundans
NR_134123.1	Parafilimonas terrae
NR_134122.1	Paracoccus sediminis
NR_134121.1	Paracoccus lutimaris
NR_134119.1	Paludibacterium paludis
NR_134118.1	Paenibacillus susongensis
NR_134117.1	Paenibacillus selenii
NR_134116.1	Paenibacillus quercus
NR_134115.1	Paenibacillus lupini
NR_134114.1	Paenibacillus guangzhouensis
NR_134112.1	Paenibacillus dongdonensis
NR_134111.1	Oryzihumus terrae
NR_134110.1	Ornithinibacillus heyuanensis
NR_134109.1	Oligoflexus tunisiensis
NR_134108.1	Pseudooceanicola flagellatus
NR_134107.1	Pseudooceanicola antarcticus
NR_134106.1	Novosphingobium kunmingense
NR_134105.1	Novosphingobium chloroacetimidivorans
NR_134104.1	Novosphingobium aquiterrae
NR_134103.1	Nonomuraea muscovyensis
NR_134102.1	Nocardioides zeae
NR_134101.1	Nocardioides pacificus
NR_134099.1	Nocardioides daecheongensis
NR_134098.1	Nocardia bhagyanarayanae
NR_134096.1	Nesterenkonia rhizosphaerae
NR_134095.1	Neptunomonas acidivorans
NR_134094.1	Mycolicibacterium hippocampi
NR_134093.1	Mucilaginibacter pineti
NR_134092.1	Mucilaginibacter koreensis
NR_134091.1	Mobilitalea sibirica
NR_134090.1	Minicystis rosea
NR_134089.1	Micromonospora violae
NR_134088.1	Micrococcus aloeverae
NR_134087.1	Microbacterium petrolearium
NR_134086.1	Microbacterium kyungheense
NR_134085.1	Microbacterium jejuense
NR_134084.1	Microbacterium hydrothermale
NR_134082.1	Mesoflavibacter sabulilitoris
NR_134081.1	Mesocricetibacter intestinalis
NR_134080.1	Megasphaera indica
NR_134079.1	Martelella radicis
NR_134078.1	Martelella mangrovi
NR_134077.1	Marinobacterium mangrovicola
NR_134076.1	Mariniphaga anaerophila
NR_134075.1	Lysobacter panacisoli
NR_134074.1	Lysinibacillus varians
NR_134073.1	Lysinibacillus halotolerans
NR_134072.1	Luteococcus sediminum
NR_134071.1	Limimaricola variabilis
NR_134070.1	Loktanella ponticola
NR_134069.1	Litoreibacter ponti
NR_134068.1	Litoreibacter ascidiaceicola
NR_134067.1	Leptospira mayottensis
NR_134064.1	Lacihabitans soyangensis
NR_134063.1	Klebsiella quasipneumoniae
NR_134062.1	Klebsiella quasipneumoniae
NR_134061.1	Janibacter indicus
NR_134058.1	Homoserinibacter gongjuensis
NR_134057.1	Hartmannibacter diazotrophicus
NR_134055.1	Halopolyspora alba
NR_134052.1	Halocynthiibacter namhaensis
NR_134049.1	Gryllotalpicola soli
NR_134047.1	Granulicella cerasi
NR_134044.1	Gordonibacter urolithinfaciens
NR_134043.1	Gordonia iterans
NR_134042.1	Glycomyces artemisiae
NR_134039.1	Geobacter soli
NR_134038.1	Fulvimonas yonginensis
NR_134037.1	Frederiksenia canicola
NR_134036.1	Flavobacterium oryzae
NR_134035.1	Flavobacterium gyeonganense
NR_134033.1	Flavisolibacter rigui
NR_134032.1	Flavihumibacter solisilvae
NR_134030.1	Flaviflexus salsibiostraticola
NR_134029.1	Faecalicoccus acidiformans
NR_134026.1	Ercella succinigenes
NR_134024.1	Endozoicomonas atrinae
NR_134023.1	Dysgonomonas macrotermitis
NR_134022.1	Domibacillus indicus
NR_134021.1	Domibacillus enclensis
NR_134020.1	Dickeya aquatica
NR_134019.1	Diaminobutyricibacter tongyongensis
NR_134018.1	Devosia pacifica
NR_134017.1	Desertibacter xinjiangensis
NR_134016.1	Deinococcus phoenicis
NR_134014.1	Defluviimonas aquaemixtae
NR_134013.1	Cricetibacter osteomyelitidis
NR_134011.1	Conyzicola lurida
NR_134010.1	Comamonas serinivorans
NR_134009.1	Comamonas humi
NR_134008.1	Colwellia aquaemaris
NR_134007.1	Cohnella nanjingensis
NR_134006.1	Clostridium huakuii
NR_134005.1	Clostridium bornimense
NR_134004.1	Clostridium algifaecis
NR_134003.1	Chryseomicrobium aureum
NR_134000.1	Chitinophaga ginsengihumi
NR_133999.1	Chitinivibrio alkaliphilus
NR_133998.1	Chitinivibrio alkaliphilus
NR_133996.1	Chishuiella changwenlii
NR_133995.1	Celeribacter indicus
NR_133994.1	Catalinimonas niigatensis
NR_133993.1	Campylobacter fetus
NR_133992.1	Campylobacter corcagiensis
NR_133991.1	Caballeronia jiangsuensis
NR_133990.1	Brucella papionis
NR_133989.1	Brevundimonas denitrificans
NR_133988.1	Bradyrhizobium ottawaense
NR_133987.1	Bradyrhizobium neotropicale
NR_133986.1	Bradyrhizobium manausense
NR_133985.1	Bradyrhizobium ingae
NR_133984.1	Brachybacterium ginsengisoli
NR_133983.1	Boseongicola aestuarii
NR_133982.1	Bifidobacterium faecale
NR_133979.1	Bacillus sediminis
NR_133978.1	Bacillus qingshengii
NR_133975.1	Bacillus kokeshiiformis
NR_133973.1	Bacillus fengqiuensis
NR_133972.1	Atopobium deltae
NR_133971.1	Asticcacaulis endophyticus
NR_133970.1	Ascidiaceihabitans donghaensis
NR_133969.1	Arthrobacter pityocampae
NR_133968.1	Arthrobacter bambusae
NR_133967.1	Arenimonas maotaiensis
NR_133966.1	Arcticibacter pallidicorallinus
NR_133964.1	Aquamicrobium terrae
NR_133963.1	Aneurinibacillus soli
NR_133962.1	Amylibacter marinus
NR_133961.1	Amphritea ceti
NR_133960.1	Altererythrobacter aestiaquae
NR_133959.1	Allokutzneria oryzae
NR_133958.1	Alcanivorax xenomutans
NR_133957.1	Aestuariivita boseongensis
NR_133955.1	Actinophytocola gilvus
NR_133954.1	Acinetobacter indicus
NR_133953.1	Acinetobacter gandensis
NR_133952.1	Acinetobacter apis
NR_133951.1	Verticiella sediminum
NR_133950.1	Acetobacteroides hydrogenigenes
NR_109446.1	Promicromonospora iranensis
NR_109125.1	Aquibacillus halophilus
NR_108242.1	Methylobacterium phyllostachyos
NR_108237.1	Methylobacterium pseudosasicola
NR_133894.1	Xenophilus arseniciresistens
NR_133893.1	Wohlfahrtiimonas larvae
NR_133892.1	Winogradskyella wandonensis
NR_133891.1	Winogradskyella undariae
NR_133890.1	Wenxinia saemankumensis
NR_133889.1	Aequorivita soesokkakensis
NR_133887.1	Vibrio ostreicida
NR_133885.1	Ureibacillus defluvii
NR_133884.1	Undibacterium macrobrachii
NR_133882.1	Thermotunica guangxiensis
NR_133881.1	Thermogemmatispora carboxidivorans
NR_133880.1	Thermoflavifilum aggregans
NR_133879.1	Thalassotalea eurytherma
NR_133878.1	Terrimicrobium sacchariphilum
NR_133877.1	Terriglobus tenax
NR_133876.1	Taibaiella koreensis
NR_133875.1	Taibaiella chishuiensis
NR_133874.1	Streptomyces zhaozhouensis
NR_133873.1	Streptomyces tunisiensis
NR_133872.1	Streptomyces karpasiensis
NR_133871.1	Streptomyces hoynatensis
NR_133870.1	Streptomyces fukangensis
NR_133869.1	Streptomyces barkulensis
NR_133868.1	Streptococcus phocae
NR_133867.1	Streptacidiphilus hamsterleyensis
NR_133866.1	Sphingomonas yantingensis
NR_133864.1	Sphingomonas naasensis
NR_133863.1	Sphingomonas guangdongensis
NR_133862.1	Sphingomonas daechungensis
NR_133861.1	Sphingomonas aerophila
NR_133860.1	Sphingobium xanthum
NR_133859.1	Sphingobium mellinum
NR_133857.1	Sneathiella chungangensis
NR_133856.1	Sinibacillus soli
NR_133855.1	Seonamhaeicola aphaedonensis
NR_133854.1	Sediminibacterium goheungense
NR_133853.1	Salinimicrobium sediminis
NR_133851.1	Salegentibacter chungangensis
NR_133850.1	Sabulilitoribacter multivorans
NR_133849.1	Rubrobacter aplysinae
NR_133848.1	Roseomonas soli
NR_133847.1	Roseomonas rhizosphaerae
NR_133846.1	Rivicola pingtungensis
NR_133845.1	Rhizorhabdus argentea
NR_133844.1	Rhizobium rhizoryzae
NR_133843.1	Rhizobium flavum
NR_133842.1	Rhizobium endolithicum
NR_133841.1	Rhizobium azibense
NR_133840.1	Rheinheimera tuosuensis
NR_133839.1	Rheinheimera muenzenbergensis
NR_133838.1	Rheinheimera hassiensis
NR_133837.1	Ramlibacter solisilvae
NR_133836.1	Ramlibacter ginsenosidimutans
NR_133835.1	Pyrinomonas methylaliphatogenes
NR_133834.1	Puniceibacterium antarcticum
NR_133833.1	Psychrosphaera haliotis
NR_133832.1	Psychrosphaera aestuarii
NR_133831.1	Psychroglaciecola arctica
NR_133830.1	Pseudopedobacter beijingensis
NR_133829.1	Pseudooctadecabacter jejudonensis
NR_133828.1	Pseudomonas kunmingensis
NR_133827.1	Pseudoalteromonas xiamenensis
NR_133826.1	Prosthecobacter algae
NR_133825.1	Pontibacter yuliensis
NR_133824.1	Pontibacter soli
NR_133823.1	Pontibacter ruber
NR_133822.1	Pontibacter deserti
NR_133821.1	Polaribacter huanghezhanensis
NR_133820.1	Polaribacter atrinae
NR_133819.1	Planobispora takensis
NR_133818.1	Phyllobacterium loti
NR_133817.1	Phreatobacter oligotrophus
NR_133816.1	Photorhabdus heterorhabditis
NR_133815.1	Photobacterium aquae
NR_133814.1	Photobacterium aestuarii
NR_133813.1	Pelolinea submarina
NR_133812.1	Pelistega indica
NR_133811.1	Pedobacter nutrimenti
NR_133810.1	Pedobacter jejuensis
NR_133809.1	Paracoccus communis
NR_133808.1	Paenochrobactrum pullorum
NR_133807.1	Paenibacillus selenitireducens
NR_133806.1	Paenibacillus relictisesami
NR_133805.1	Paenibacillus doosanensis
NR_133804.1	Paenalcaligenes suwonensis
NR_133803.1	Ottowia beijingensis
NR_133802.1	Ornithinibacillus halotolerans
NR_133801.1	Oceanisphaera profunda
NR_133800.1	Novosphingobium ginsenosidimutans
NR_133798.1	Noviherbaspirillum suwonense
NR_133797.1	Nocardioides soli
NR_133796.1	Nocardioides opuntiae
NR_133795.1	Nocardia sungurluensis
NR_133794.1	Nocardia kroppenstedtii
NR_133793.1	Myroides xuanwuensis
NR_133792.1	Mucilaginibacter soyangensis
NR_133791.1	Mucilaginibacter polytrichastri
NR_133790.1	Mucilaginibacter flavus
NR_133789.1	Mucilaginibacter defluvii
NR_133788.1	Mucilaginibacter auburnensis
NR_133787.1	Moheibacter sediminis
NR_133786.1	Microvirga vignae
NR_133785.1	Methylopila oligotropha
NR_133784.1	Methyloparacoccus murrellii
NR_133783.1	Methylomonas lenta
NR_133775.1	Marinomonas fungiae
NR_133774.1	Lutimonas halocynthiae
NR_133773.1	Luteimonas abyssi
NR_133772.1	Listeria riparia
NR_133770.1	Listeria cornellensis
NR_133769.1	Leuconostoc gelidum
NR_133768.1	Lactobacillus rodentium
NR_133767.1	Kocuria indica
NR_133766.1	Jannaschia faecimaris
NR_133765.1	Hymenobacter ruber
NR_133764.1	Hymenobacter kanuolensis
NR_133763.1	Hymenobacter arcticus
NR_133762.1	Hungatella effluvii
NR_133761.1	Helicobacter valdiviensis
NR_133758.1	Halomonas huangheensis
NR_133755.1	Haloactinopolyspora alkaliphila
NR_133754.1	Glaciihabitans tibetensis
NR_133751.1	Gayadomonas joobiniege
NR_133750.1	Fluviicola hefeinensis
NR_133749.1	Flavobacterium tructae
NR_133748.1	Flavobacterium spartansii
NR_133747.1	Flavobacterium plurextorum
NR_133746.1	Flavobacterium piscis
NR_133745.1	Flavobacterium lacus
NR_133744.1	Fictibacillus enclensis
NR_133743.1	Ferruginibacter yonginensis
NR_133742.1	Falsiporphyromonas endometrii
NR_133741.1	Enterococcus xiangfangensis
NR_133740.1	Dongia rigui
NR_133739.1	Diaphorobacter aerolatus
